,vot,f0,dec,condition,subject,accuracy
0,2,4,0.037762415,clear,0_100,0.037762415
1,2,4,0.37444994,noise,0_100,0.37444994
2,6,4,0.95139146,clear,0_100,0.037762415
3,6,4,0.6455483,noise,0_100,0.37444994
4,4,2,0.91138166,noise,0_100,0.11677821
5,4,2,0.5813799,clear,0_100,0.39885974
6,4,6,0.11677821,noise,0_100,0.11677821
7,4,6,0.39885974,clear,0_100,0.39885974
8,2,4,0.039157413,clear,1_99,0.039157413
9,2,4,0.37474936,noise,1_99,0.37474936
10,6,4,0.9486366,clear,1_99,0.039157413
11,6,4,0.63859236,noise,1_99,0.37474936
12,4,2,0.9083458,noise,1_99,0.11624035
13,4,2,0.58422047,clear,1_99,0.39953336
14,4,6,0.11624035,noise,1_99,0.11624035
15,4,6,0.39953336,clear,1_99,0.39953336
16,2,4,0.041098338,clear,2_98,0.041098338
17,2,4,0.36711603,noise,2_98,0.36711603
18,6,4,0.9518906,clear,2_98,0.041098338
19,6,4,0.65397567,noise,2_98,0.36711603
20,4,2,0.91231275,noise,2_98,0.12012067
21,4,2,0.58715606,clear,2_98,0.39717174
22,4,6,0.12012067,noise,2_98,0.12012067
23,4,6,0.39717174,clear,2_98,0.39717174
24,2,4,0.046501983,clear,3_97,0.046501983
25,2,4,0.37085813,noise,3_97,0.37085813
26,6,4,0.9438848,clear,3_97,0.046501983
27,6,4,0.64738953,noise,3_97,0.37085813
28,4,2,0.9033751,noise,3_97,0.124664865
29,4,2,0.587444,clear,3_97,0.39172304
30,4,6,0.124664865,noise,3_97,0.124664865
31,4,6,0.39172304,clear,3_97,0.39172304
32,2,4,0.04801671,clear,4_96,0.04801671
33,2,4,0.37212902,noise,4_96,0.37212902
34,6,4,0.94442564,clear,4_96,0.04801671
35,6,4,0.6506934,noise,4_96,0.37212902
36,4,2,0.90230054,noise,4_96,0.12808812
37,4,2,0.5944766,clear,4_96,0.3903568
38,4,6,0.12808812,noise,4_96,0.12808812
39,4,6,0.3903568,clear,4_96,0.3903568
40,2,4,0.047050953,clear,5_95,0.047050953
41,2,4,0.3662682,noise,5_95,0.3662682
42,6,4,0.943327,clear,5_95,0.047050953
43,6,4,0.6539325,noise,5_95,0.3662682
44,4,2,0.8936381,noise,5_95,0.13216211
45,4,2,0.5925054,clear,5_95,0.39189342
46,4,6,0.13216211,noise,5_95,0.13216211
47,4,6,0.39189342,clear,5_95,0.39189342
48,2,4,0.046283692,clear,6_94,0.046283692
49,2,4,0.36548424,noise,6_94,0.36548424
50,6,4,0.93629366,clear,6_94,0.046283692
51,6,4,0.65582293,noise,6_94,0.36548424
52,4,2,0.893018,noise,6_94,0.1300396
53,4,2,0.59294266,clear,6_94,0.39104712
54,4,6,0.1300396,noise,6_94,0.1300396
55,4,6,0.39104712,clear,6_94,0.39104712
56,2,4,0.053570345,clear,7_93,0.053570345
57,2,4,0.35656038,noise,7_93,0.35656038
58,6,4,0.9431671,clear,7_93,0.053570345
59,6,4,0.6609402,noise,7_93,0.35656038
60,4,2,0.8971134,noise,7_93,0.14168303
61,4,2,0.58912635,clear,7_93,0.3886658
62,4,6,0.14168303,noise,7_93,0.14168303
63,4,6,0.3886658,clear,7_93,0.3886658
64,2,4,0.05616545,clear,8_92,0.05616545
65,2,4,0.35524824,noise,8_92,0.35524824
66,6,4,0.9372517,clear,8_92,0.05616545
67,6,4,0.6615691,noise,8_92,0.35524824
68,4,2,0.88958675,noise,8_92,0.14491893
69,4,2,0.59273773,clear,8_92,0.38405916
70,4,6,0.14491893,noise,8_92,0.14491893
71,4,6,0.38405916,clear,8_92,0.38405916
72,2,4,0.057049535,clear,9_91,0.057049535
73,2,4,0.35324562,noise,9_91,0.35324562
74,6,4,0.92970425,clear,9_91,0.057049535
75,6,4,0.6758466,noise,9_91,0.35324562
76,4,2,0.88384616,noise,9_91,0.14657727
77,4,2,0.60482645,clear,9_91,0.38663134
78,4,6,0.14657727,noise,9_91,0.14657727
79,4,6,0.38663134,clear,9_91,0.38663134
80,2,4,0.0592055,clear,10_90,0.0592055
81,2,4,0.3516759,noise,10_90,0.3516759
82,6,4,0.93035877,clear,10_90,0.0592055
83,6,4,0.6647582,noise,10_90,0.3516759
84,4,2,0.8847392,noise,10_90,0.15311535
85,4,2,0.6021102,clear,10_90,0.38536537
86,4,6,0.15311535,noise,10_90,0.15311535
87,4,6,0.38536537,clear,10_90,0.38536537
88,2,4,0.06228788,clear,11_89,0.06228788
89,2,4,0.34627578,noise,11_89,0.34627578
90,6,4,0.92636305,clear,11_89,0.06228788
91,6,4,0.6681631,noise,11_89,0.34627578
92,4,2,0.87699276,noise,11_89,0.15128976
93,4,2,0.6079289,clear,11_89,0.3802293
94,4,6,0.15128976,noise,11_89,0.15128976
95,4,6,0.3802293,clear,11_89,0.3802293
96,2,4,0.06729316,clear,12_88,0.06729316
97,2,4,0.35043195,noise,12_88,0.35043195
98,6,4,0.9282827,clear,12_88,0.06729316
99,6,4,0.67429185,noise,12_88,0.35043195
100,4,2,0.8699913,noise,12_88,0.15153253
101,4,2,0.61131614,clear,12_88,0.37209257
102,4,6,0.15153253,noise,12_88,0.15153253
103,4,6,0.37209257,clear,12_88,0.37209257
104,2,4,0.07079217,clear,13_87,0.07079217
105,2,4,0.3427206,noise,13_87,0.3427206
106,6,4,0.92679495,clear,13_87,0.07079217
107,6,4,0.6710566,noise,13_87,0.3427206
108,4,2,0.8764569,noise,13_87,0.1690632
109,4,2,0.61368495,clear,13_87,0.37068662
110,4,6,0.1690632,noise,13_87,0.1690632
111,4,6,0.37068662,clear,13_87,0.37068662
112,2,4,0.07104736,clear,14_86,0.07104736
113,2,4,0.33943683,noise,14_86,0.33943683
114,6,4,0.9186905,clear,14_86,0.07104736
115,6,4,0.6775649,noise,14_86,0.33943683
116,4,2,0.8677949,noise,14_86,0.16365534
117,4,2,0.60872155,clear,14_86,0.3788386
118,4,6,0.16365534,noise,14_86,0.16365534
119,4,6,0.3788386,clear,14_86,0.3788386
120,2,4,0.07404846,clear,15_85,0.07404846
121,2,4,0.3388941,noise,15_85,0.3388941
122,6,4,0.91849303,clear,15_85,0.07404846
123,6,4,0.68443686,noise,15_85,0.3388941
124,4,2,0.86471444,noise,15_85,0.16364288
125,4,2,0.6123036,clear,15_85,0.36906612
126,4,6,0.16364288,noise,15_85,0.16364288
127,4,6,0.36906612,clear,15_85,0.36906612
128,2,4,0.07747124,clear,16_84,0.07747124
129,2,4,0.33239886,noise,16_84,0.33239886
130,6,4,0.92153406,clear,16_84,0.07747124
131,6,4,0.68040156,noise,16_84,0.33239886
132,4,2,0.8572524,noise,16_84,0.1697076
133,4,2,0.62440157,clear,16_84,0.37577662
134,4,6,0.1697076,noise,16_84,0.1697076
135,4,6,0.37577662,clear,16_84,0.37577662
136,2,4,0.08105156,clear,17_83,0.08105156
137,2,4,0.33698446,noise,17_83,0.33698446
138,6,4,0.91283077,clear,17_83,0.08105156
139,6,4,0.68876964,noise,17_83,0.33698446
140,4,2,0.8544345,noise,17_83,0.17573501
141,4,2,0.6141794,clear,17_83,0.36545926
142,4,6,0.17573501,noise,17_83,0.17573501
143,4,6,0.36545926,clear,17_83,0.36545926
144,2,4,0.08338784,clear,18_82,0.08338784
145,2,4,0.3298635,noise,18_82,0.3298635
146,6,4,0.904107,clear,18_82,0.08338784
147,6,4,0.69151956,noise,18_82,0.3298635
148,4,2,0.8573773,noise,18_82,0.18192057
149,4,2,0.62310565,clear,18_82,0.37049472
150,4,6,0.18192057,noise,18_82,0.18192057
151,4,6,0.37049472,clear,18_82,0.37049472
152,2,4,0.08196699,clear,19_81,0.08196699
153,2,4,0.33384824,noise,19_81,0.33384824
154,6,4,0.9056755,clear,19_81,0.08196699
155,6,4,0.6902052,noise,19_81,0.33384824
156,4,2,0.8518281,noise,19_81,0.17786497
157,4,2,0.6254222,clear,19_81,0.36767134
158,4,6,0.17786497,noise,19_81,0.17786497
159,4,6,0.36767134,clear,19_81,0.36767134
160,2,4,0.09330942,clear,20_80,0.09330942
161,2,4,0.32209784,noise,20_80,0.32209784
162,6,4,0.9023844,clear,20_80,0.09330942
163,6,4,0.69452506,noise,20_80,0.32209784
164,4,2,0.8444676,noise,20_80,0.18518141
165,4,2,0.62557316,clear,20_80,0.3577964
166,4,6,0.18518141,noise,20_80,0.18518141
167,4,6,0.3577964,clear,20_80,0.3577964
168,2,4,0.094170995,clear,21_79,0.094170995
169,2,4,0.31875816,noise,21_79,0.31875816
170,6,4,0.8981906,clear,21_79,0.094170995
171,6,4,0.69830424,noise,21_79,0.31875816
172,4,2,0.8417987,noise,21_79,0.18795702
173,4,2,0.6308944,clear,21_79,0.36497387
174,4,6,0.18795702,noise,21_79,0.18795702
175,4,6,0.36497387,clear,21_79,0.36497387
176,2,4,0.10477395,clear,22_78,0.10477395
177,2,4,0.32028118,noise,22_78,0.32028118
178,6,4,0.8931158,clear,22_78,0.10477395
179,6,4,0.7051974,noise,22_78,0.32028118
180,4,2,0.84162325,noise,22_78,0.19206783
181,4,2,0.63655144,clear,22_78,0.3535773
182,4,6,0.19206783,noise,22_78,0.19206783
183,4,6,0.3535773,clear,22_78,0.3535773
184,2,4,0.104705535,clear,23_77,0.104705535
185,2,4,0.31821287,noise,23_77,0.31821287
186,6,4,0.892999,clear,23_77,0.104705535
187,6,4,0.7068052,noise,23_77,0.31821287
188,4,2,0.83018136,noise,23_77,0.202558
189,4,2,0.63121295,clear,23_77,0.3572665
190,4,6,0.202558,noise,23_77,0.202558
191,4,6,0.3572665,clear,23_77,0.3572665
192,2,4,0.105713926,clear,24_76,0.105713926
193,2,4,0.31261003,noise,24_76,0.31261003
194,6,4,0.89729804,clear,24_76,0.105713926
195,6,4,0.70585656,noise,24_76,0.31261003
196,4,2,0.8359819,noise,24_76,0.19607717
197,4,2,0.6402631,clear,24_76,0.357796
198,4,6,0.19607717,noise,24_76,0.19607717
199,4,6,0.357796,clear,24_76,0.357796
200,2,4,0.10833265,clear,25_75,0.10833265
201,2,4,0.31401336,noise,25_75,0.31401336
202,6,4,0.88716173,clear,25_75,0.10833265
203,6,4,0.7134529,noise,25_75,0.31401336
204,4,2,0.8308692,noise,25_75,0.20058513
205,4,2,0.64439183,clear,25_75,0.352179
206,4,6,0.20058513,noise,25_75,0.20058513
207,4,6,0.352179,clear,25_75,0.352179
208,2,4,0.109582424,clear,26_74,0.109582424
209,2,4,0.3060391,noise,26_74,0.3060391
210,6,4,0.88388264,clear,26_74,0.109582424
211,6,4,0.7112786,noise,26_74,0.3060391
212,4,2,0.8192529,noise,26_74,0.21497218
213,4,2,0.634287,clear,26_74,0.3494461
214,4,6,0.21497218,noise,26_74,0.21497218
215,4,6,0.3494461,clear,26_74,0.3494461
216,2,4,0.113203116,clear,27_73,0.113203116
217,2,4,0.29896468,noise,27_73,0.29896468
218,6,4,0.879253,clear,27_73,0.113203116
219,6,4,0.7174991,noise,27_73,0.29896468
220,4,2,0.8203318,noise,27_73,0.21556795
221,4,2,0.6459317,clear,27_73,0.35054162
222,4,6,0.21556795,noise,27_73,0.21556795
223,4,6,0.35054162,clear,27_73,0.35054162
224,2,4,0.11911609,clear,28_72,0.11911609
225,2,4,0.29993144,noise,28_72,0.29993144
226,6,4,0.8762399,clear,28_72,0.11911609
227,6,4,0.7199198,noise,28_72,0.29993144
228,4,2,0.8171406,noise,28_72,0.22348687
