,corpus,weight,chi2,p,lik_attn,lik_base
0,timit,0.7,-3219.283455185554,not,-7383.659962755404,-5774.018235162627
1,timit,0.8,-2848.484276411731,not,-7198.260373368493,-5774.018235162627
2,timit,0.85,-3450.9179547432577,not,-7499.477212534256,-5774.018235162627
3,timit,0.9,-3292.093607419547,not,-7420.065038872401,-5774.018235162627
4,timit,0.99,-3869.310091158157,not,-7708.673280741706,-5774.018235162627
5,timit,0.999,-3183.089737419772,not,-7365.563103872513,-5774.018235162627
6,buc,0.7,4804.671489345843,significant,-4707.131889605025,-7109.467634277947
7,buc,0.8,4110.290588752932,significant,-5054.3223399014805,-7109.467634277947
8,buc,0.85,717.7844107594356,significant,-6750.575428898229,-7109.467634277947
9,buc,0.9,-3195.913837754453,not,-8707.424553155173,-7109.467634277947
10,buc,0.99,-8030.413847040714,not,-11124.674557798304,-7109.467634277947
11,buc,0.999,-11437.76791425665,not,-12828.351591406272,-7109.467634277947
12,wsj,0.7,-667.7670719992457,not,-23702.20931734132,-23368.325781341697
13,wsj,0.8,-1597.8643345411256,not,-24167.25794861226,-23368.325781341697
14,wsj,0.85,-796.6947011121883,not,-23766.67313189779,-23368.325781341697
15,wsj,0.9,1486.6738249691043,significant,-22624.988868857145,-23368.325781341697
16,wsj,0.99,14962.5734555118,significant,-15887.039053585797,-23368.325781341697
17,wsj,0.999,15112.84569546207,significant,-15811.902933610661,-23368.325781341697
