,corpus,corpus_path,extracted_filename,phone,pred_phone,next_phone,start_time,end_time,duration,word,pred_word,next_word,is_word_onset,speaker,gender,f1,f2,deltaFormant,norm_f1,norm_f2,norm_deltaFormant,norm_duration
0,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/sa1,dr1_fcjf0_had_eh_6642.wav,eh,hv,dcl,0.415125,0.54825,0.133125,had,she,,False,fcjf0,f,732.0,1929.0,1197.0,0.19586229900667051,0.16692036835306917,0.07126601325663941,0.47349313002668825
1,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/sa2,dr1_fcjf0_dont_ae_4600.wav,AE,n,s,0.2875,0.429,0.14150000000000001,don't,,ask,True,fcjf0,f,743.0,1892.0,1149.0,0.3699621203459332,-0.08261715201313526,-0.20515973513274982,0.6593875213061652
2,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/sa2,dr1_fcjf0_carry_eh_12540.wav,eh,k,r,0.78375,0.8459375,0.06218750000000006,carry,to,,False,fcjf0,f,647.0,1899.0,1252.0,-1.1494545022512683,-0.03540735086277225,0.38800384995281456,-1.1010601095420105
3,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/sa2,dr1_fcjf0_rag_ae_22266.wav,AE,r,gcl,1.391625,1.556125,0.1645000000000001,rag,oily,like,False,fcjf0,f,731.0,1875.0,1144.0,0.180035042521283,-0.19726952623544539,-0.23395408392331118,1.169903461536371
4,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/sa2,dr1_fcjf0_that_ae_29490.wav,AE,dh,tcl,1.843125,2.0174375,0.17431250000000031,that,like,,False,fcjf0,f,726.0,1763.0,1037.0,0.10089876009434542,-0.9526263446412534,-0.8501531480413247,1.3877050990802402
5,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/si1027,dr1_fcjf0_even_eh_7436.wav,eh,n,n,0.46475,0.6475,0.18274999999999997,even,,then,True,fcjf0,f,801.0,2088.0,1287.0,1.2879429964984093,1.2392572801970287,0.5895642914867442,1.5749867619364215
6,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/si1027,dr1_fcjf0_catch_ae_41210.wav,AE,k,tcl,2.575625,2.69,0.1143749999999999,catch,could,,False,fcjf0,f,738.0,1973.0,1235.0,0.29082583791899563,0.4636676898696366,0.2901030640649059,0.05731165701293266
7,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/si1657,dr1_fcjf0_and_eh_27350.wav,eh,q,ng,1.709375,1.7466875,0.03731249999999986,and,someone,go,False,fcjf0,f,633.0,2288.0,1655.0,-1.3710360930466936,2.5881087416359714,2.7088283624720617,-1.6531941970735944
8,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/si648,dr1_fcjf0_have_ae_12040.wav,AE,hv,v,0.7525,0.8625,0.1100000000000001,have,may,a,False,fcjf0,f,753.0,1660.0,907.0,0.5282346851998083,-1.647284847282309,-1.5988062165959205,-0.03979735335693859
9,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/si648,dr1_fcjf0_next_eh_48570.wav,eh,n,kcl,3.035625,3.2075,0.171875,next,the,,False,fcjf0,f,755.0,2044.0,1289.0,0.5598891981705834,0.9425099586804613,0.6010820310029688,1.3336015075884453
